"Authority code","Authority name","Date","new births"
"E08000004","Oldham","01/05/2017",273
"E08000005","Rochdale","01/05/2017",234
"E08000006","Salford","01/05/2017",297
"E08000007","Stockport","01/05/2017",310
"E08000008","Tameside","01/05/2017",230
"E08000009","Trafford","01/05/2017",246
"E08000010","Wigan","01/05/2017",302
"E08000001","Bolton","01/06/2017",296
"E08000002","Bury","01/06/2017",174
"E08000003","Manchester","01/06/2017",607
"E08000004","Oldham","01/06/2017",262
"E08000005","Rochdale","01/06/2017",232
"E08000006","Salford","01/06/2017",293
"E08000007","Stockport","01/06/2017",254
"E08000008","Tameside","01/06/2017",224
"E08000009","Trafford","01/06/2017",202
"E08000010","Wigan","01/06/2017",316
"E08000001","Bolton","01/07/2017",353
"E08000002","Bury","01/07/2017",173
"E08000003","Manchester","01/07/2017",644
"E08000004","Oldham","01/07/2017",285
"E08000005","Rochdale","01/07/2017",264
"E08000006","Salford","01/07/2017",307
"E08000007","Stockport","01/07/2017",299
"E08000008","Tameside","01/07/2017",265
"E08000009","Trafford","01/07/2017",231
"E08000010","Wigan","01/07/2017",357
"E08000001","Bolton","01/08/2017",288
"E08000002","Bury","01/08/2017",180
"E08000003","Manchester","01/08/2017",628
"E08000004","Oldham","01/08/2017",296
"E08000005","Rochdale","01/08/2017",266
"E08000006","Salford","01/08/2017",321
"E08000007","Stockport","01/08/2017",272
"E08000008","Tameside","01/08/2017",234
"E08000009","Trafford","01/08/2017",221
"E08000010","Wigan","01/08/2017",289
"E08000001","Bolton","01/09/2017",282
"E08000002","Bury","01/09/2017",197
"E08000003","Manchester","01/09/2017",626
"E08000004","Oldham","01/09/2017",274
"E08000005","Rochdale","01/09/2017",253
"E08000006","Salford","01/09/2017",310
"E08000007","Stockport","01/09/2017",263
"E08000008","Tameside","01/09/2017",251
"E08000009","Trafford","01/09/2017",218
"E08000010","Wigan","01/09/2017",308
"E08000001","Bolton","01/10/2017",303
"E08000002","Bury","01/10/2017",183
"E08000003","Manchester","01/10/2017",629
"E08000004","Oldham","01/10/2017",302
