"Region/Country code","Region/Country name","Local authority code","Local authority","Date","new houses"
"E12000002","North West","E08000002","Bury","Dec-01",207
"E12000002","North West","E08000003","Manchester","Dec-01",1477
"E12000002","North West","E08000004","Oldham","Dec-01",252
"E12000002","North West","E08000005","Rochdale","Dec-01",273
"E12000002","North West","E08000006","Salford","Dec-01",284
"E12000002","North West","E08000007","Stockport","Dec-01",222
"E12000002","North West","E08000008","Tameside","Dec-01",350
"E12000002","North West","E08000009","Trafford","Dec-01",265
"E12000002","North West","E08000010","Wigan","Dec-01",812
"E12000002","North West","E08000001","Bolton","Mar-02",685
"E12000002","North West","E08000002","Bury","Mar-02",240
"E12000002","North West","E08000003","Manchester","Mar-02",1600
"E12000002","North West","E08000004","Oldham","Mar-02",245
"E12000002","North West","E08000005","Rochdale","Mar-02",233
"E12000002","North West","E08000006","Salford","Mar-02",280
"E12000002","North West","E08000007","Stockport","Mar-02",226
"E12000002","North West","E08000008","Tameside","Mar-02",339
"E12000002","North West","E08000009","Trafford","Mar-02",369
"E12000002","North West","E08000010","Wigan","Mar-02",786
"E12000002","North West","E08000001","Bolton","Jun-02",665
"E12000002","North West","E08000002","Bury","Jun-02",308
"E12000002","North West","E08000003","Manchester","Jun-02",1936
"E12000002","North West","E08000004","Oldham","Jun-02",279
"E12000002","North West","E08000005","Rochdale","Jun-02",252
"E12000002","North West","E08000006","Salford","Jun-02",314
"E12000002","North West","E08000007","Stockport","Jun-02",222
"E12000002","North West","E08000008","Tameside","Jun-02",318
"E12000002","North West","E08000009","Trafford","Jun-02",438
"E12000002","North West","E08000010","Wigan","Jun-02",770
"E12000002","North West","E08000001","Bolton","Sep-02",637
"E12000002","North West","E08000002","Bury","Sep-02",356
"E12000002","North West","E08000003","Manchester","Sep-02",2052
"E12000002","North West","E08000004","Oldham","Sep-02",298
"E12000002","North West","E08000005","Rochdale","Sep-02",322
"E12000002","North West","E08000006","Salford","Sep-02",325
"E12000002","North West","E08000007","Stockport","Sep-02",205
"E12000002","North West","E08000008","Tameside","Sep-02",317
"E12000002","North West","E08000009","Trafford","Sep-02",521
"E12000002","North West","E08000010","Wigan","Sep-02",713
"E12000002","North West","E08000001","Bolton","Dec-02",529
"E12000002","North West","E08000002","Bury","Dec-02",429
"E12000002","North West","E08000003","Manchester","Dec-02",2340
"E12000002","North West","E08000004","Oldham","Dec-02",326
"E12000002","North West","E08000005","Rochdale","Dec-02",378
"E12000002","North West","E08000006","Salford","Dec-02",340
"E12000002","North West","E08000007","Stockport","Dec-02",187
"E12000002","North West","E08000008","Tameside","Dec-02",298
"E12000002","North West","E08000009","Trafford","Dec-02",619
"E12000002","North West","E08000010","Wigan","Dec-02",727
"E12000002","North West","E08000001","Bolton","Mar-03",476
"E12000002","North West","E08000002","Bury","Mar-03",480
"E12000002","North West","E08000003","Manchester","Mar-03",2389
"E12000002","North West","E08000004","Oldham","Mar-03",365
"E12000002","North West","E08000005","Rochdale","Mar-03",394
"E12000002","North West","E08000006","Salford","Mar-03",359
"E12000002","North West","E08000007","Stockport","Mar-03",165
"E12000002","North West","E08000008","Tameside","Mar-03",284
"E12000002","North West","E08000009","Trafford","Mar-03",583
"E12000002","North West","E08000010","Wigan","Mar-03",720
"E12000002","North West","E08000001","Bolton","Jun-03",397
"E12000002","North West","E08000002","Bury","Jun-03",481
"E12000002","North West","E08000003","Manchester","Jun-03",2121
"E12000002","North West","E08000004","Oldham","Jun-03",343
"E12000002","North West","E08000005","Rochdale","Jun-03",329
"E12000002","North West","E08000006","Salford","Jun-03",422
"E12000002","North West","E08000007","Stockport","Jun-03",163
"E12000002","North West","E08000008","Tameside","Jun-03",330
"E12000002","North West","E08000009","Trafford","Jun-03",617
"E12000002","North West","E08000010","Wigan","Jun-03",760
"E12000002","North West","E08000001","Bolton","Sep-03",322
"E12000002","North West","E08000002","Bury","Sep-03",460
"E12000002","North West","E08000003","Manchester","Sep-03",2012
"E12000002","North West","E08000004","Oldham","Sep-03",330
"E12000002","North West","E08000005","Rochdale","Sep-03",245
"E12000002","North West","E08000006","Salford","Sep-03",488
"E12000002","North West","E08000007","Stockport","Sep-03",188
"E12000002","North West","E08000008","Tameside","Sep-03",332
"E12000002","North West","E08000009","Trafford","Sep-03",604
"E12000002","North West","E08000010","Wigan","Sep-03",795
"E12000002","North West","E08000001","Bolton","Dec-03",279
"E12000002","North West","E08000002","Bury","Dec-03",438
"E12000002","North West","E08000003","Manchester","Dec-03",2157
"E12000002","North West","E08000004","Oldham","Dec-03",323
"E12000002","North West","E08000005","Rochdale","Dec-03",179
"E12000002","North West","E08000006","Salford","Dec-03",659
"E12000002","North West","E08000007","Stockport","Dec-03",217
"E12000002","North West","E08000008","Tameside","Dec-03",387
"E12000002","North West","E08000009","Trafford","Dec-03",674
"E12000002","North West","E08000010","Wigan","Dec-03",786
"E12000002","North West","E08000001","Bolton","Mar-04",290
"E12000002","North West","E08000002","Bury","Mar-04",388
"E12000002","North West","E08000003","Manchester","Mar-04",2224
"E12000002","North West","E08000004","Oldham","Mar-04",291
"E12000002","North West","E08000005","Rochdale","Mar-04",172
"E12000002","North West","E08000006","Salford","Mar-04",719
"E12000002","North West","E08000007","Stockport","Mar-04",226
"E12000002","North West","E08000008","Tameside","Mar-04",384
"E12000002","North West","E08000009","Trafford","Mar-04",709
"E12000002","North West","E08000010","Wigan","Mar-04",746
"E12000002","North West","E08000001","Bolton","Jun-04",292
"E12000002","North West","E08000002","Bury","Jun-04",418
"E12000002","North West","E08000003","Manchester","Jun-04",2473
"E12000002","North West","E08000004","Oldham","Jun-04",252
"E12000002","North West","E08000005","Rochdale","Jun-04",146
"E12000002","North West","E08000006","Salford","Jun-04",868
"E12000002","North West","E08000007","Stockport","Jun-04",197
"E12000002","North West","E08000008","Tameside","Jun-04",377
"E12000002","North West","E08000009","Trafford","Jun-04",749
"E12000002","North West","E08000010","Wigan","Jun-04",720
"E12000002","North West","E08000001","Bolton","Sep-04",333
"E12000002","North West","E08000002","Bury","Sep-04",467
"E12000002","North West","E08000003","Manchester","Sep-04",2644
"E12000002","North West","E08000004","Oldham","Sep-04",234
"E12000002","North West","E08000005","Rochdale","Sep-04",143
"E12000002","North West","E08000006","Salford","Sep-04",1006
"E12000002","North West","E08000007","Stockport","Sep-04",185
"E12000002","North West","E08000008","Tameside","Sep-04",340
"E12000002","North West","E08000009","Trafford","Sep-04",768
"E12000002","North West","E08000010","Wigan","Sep-04",719
"E12000002","North West","E08000001","Bolton","Dec-04",353
"E12000002","North West","E08000002","Bury","Dec-04",534
"E12000002","North West","E08000003","Manchester","Dec-04",2552
"E12000002","North West","E08000004","Oldham","Dec-04",243
"E12000002","North West","E08000005","Rochdale","Dec-04",127
"E12000002","North West","E08000006","Salford","Dec-04",1043
"E12000002","North West","E08000007","Stockport","Dec-04",140
"E12000002","North West","E08000008","Tameside","Dec-04",295
"E12000002","North West","E08000009","Trafford","Dec-04",692
"E12000002","North West","E08000010","Wigan","Dec-04",743
"E12000002","North West","E08000001","Bolton","Mar-05",363
"E12000002","North West","E08000002","Bury","Mar-05",549
"E12000002","North West","E08000003","Manchester","Mar-05",2650
"E12000002","North West","E08000004","Oldham","Mar-05",194
"E12000002","North West","E08000005","Rochdale","Mar-05",121
"E12000002","North West","E08000006","Salford","Mar-05",1149
"E12000002","North West","E08000007","Stockport","Mar-05",134
"E12000002","North West","E08000008","Tameside","Mar-05",307
"E12000002","North West","E08000009","Trafford","Mar-05",667
"E12000002","North West","E08000010","Wigan","Mar-05",727
"E12000002","North West","E08000001","Bolton","Jun-05",412
"E12000002","North West","E08000002","Bury","Jun-05",554
"E12000002","North West","E08000003","Manchester","Jun-05",2673
"E12000002","North West","E08000004","Oldham","Jun-05",205
"E12000002","North West","E08000005","Rochdale","Jun-05",144
"E12000002","North West","E08000006","Salford","Jun-05",1065
"E12000002","North West","E08000007","Stockport","Jun-05",152
"E12000002","North West","E08000008","Tameside","Jun-05",373
"E12000002","North West","E08000009","Trafford","Jun-05",689
"E12000002","North West","E08000010","Wigan","Jun-05",661
"E12000002","North West","E08000001","Bolton","Sep-05",435
"E12000002","North West","E08000002","Bury","Sep-05",513
"E12000002","North West","E08000003","Manchester","Sep-05",2722
