"TimeID","Reg date","Authority code","Authority name","new births"
555,2017-03-01,"E08000009","Trafford",206
555,2017-03-01,"E08000010","Wigan",309
556,2017-04-01,"E08000001","Bolton",330
556,2017-04-01,"E08000002","Bury",175
556,2017-04-01,"E08000003","Manchester",624
556,2017-04-01,"E08000004","Oldham",284
556,2017-04-01,"E08000005","Rochdale",245
556,2017-04-01,"E08000006","Salford",279
556,2017-04-01,"E08000007","Stockport",265
556,2017-04-01,"E08000008","Tameside",240
556,2017-04-01,"E08000009","Trafford",234
556,2017-04-01,"E08000010","Wigan",275
557,2017-05-01,"E08000001","Bolton",350
557,2017-05-01,"E08000002","Bury",201
557,2017-05-01,"E08000003","Manchester",639
557,2017-05-01,"E08000004","Oldham",273
557,2017-05-01,"E08000005","Rochdale",234
557,2017-05-01,"E08000006","Salford",297
557,2017-05-01,"E08000007","Stockport",310
557,2017-05-01,"E08000008","Tameside",230
557,2017-05-01,"E08000009","Trafford",246
557,2017-05-01,"E08000010","Wigan",302
558,2017-06-01,"E08000001","Bolton",296
558,2017-06-01,"E08000002","Bury",174
558,2017-06-01,"E08000003","Manchester",607
558,2017-06-01,"E08000004","Oldham",262
558,2017-06-01,"E08000005","Rochdale",232
558,2017-06-01,"E08000006","Salford",293
558,2017-06-01,"E08000007","Stockport",254
558,2017-06-01,"E08000008","Tameside",224
558,2017-06-01,"E08000009","Trafford",202
558,2017-06-01,"E08000010","Wigan",316
559,2017-07-01,"E08000001","Bolton",353
559,2017-07-01,"E08000002","Bury",173
559,2017-07-01,"E08000003","Manchester",644
559,2017-07-01,"E08000004","Oldham",285
559,2017-07-01,"E08000005","Rochdale",264
559,2017-07-01,"E08000006","Salford",307
559,2017-07-01,"E08000007","Stockport",299
559,2017-07-01,"E08000008","Tameside",265
559,2017-07-01,"E08000009","Trafford",231
559,2017-07-01,"E08000010","Wigan",357
560,2017-08-01,"E08000001","Bolton",288
560,2017-08-01,"E08000002","Bury",180
560,2017-08-01,"E08000003","Manchester",628
560,2017-08-01,"E08000004","Oldham",296
560,2017-08-01,"E08000005","Rochdale",266
560,2017-08-01,"E08000006","Salford",321
560,2017-08-01,"E08000007","Stockport",272
560,2017-08-01,"E08000008","Tameside",234
560,2017-08-01,"E08000009","Trafford",221
560,2017-08-01,"E08000010","Wigan",289
561,2017-09-01,"E08000001","Bolton",282
561,2017-09-01,"E08000002","Bury",197
561,2017-09-01,"E08000003","Manchester",626
561,2017-09-01,"E08000004","Oldham",274
561,2017-09-01,"E08000005","Rochdale",253
561,2017-09-01,"E08000006","Salford",310
561,2017-09-01,"E08000007","Stockport",263
561,2017-09-01,"E08000008","Tameside",251
561,2017-09-01,"E08000009","Trafford",218
561,2017-09-01,"E08000010","Wigan",308
562,2017-10-01,"E08000001","Bolton",303
562,2017-10-01,"E08000002","Bury",183
562,2017-10-01,"E08000003","Manchester",629
562,2017-10-01,"E08000004","Oldham",302
562,2017-10-01,"E08000005","Rochdale",253
562,2017-10-01,"E08000006","Salford",319
562,2017-10-01,"E08000007","Stockport",292
562,2017-10-01,"E08000008","Tameside",257
562,2017-10-01,"E08000009","Trafford",227
562,2017-10-01,"E08000010","Wigan",329
563,2017-11-01,"E08000001","Bolton",320
563,2017-11-01,"E08000002","Bury",207
563,2017-11-01,"E08000003","Manchester",606
563,2017-11-01,"E08000004","Oldham",252
563,2017-11-01,"E08000005","Rochdale",238
563,2017-11-01,"E08000006","Salford",295
563,2017-11-01,"E08000007","Stockport",270
563,2017-11-01,"E08000008","Tameside",245
563,2017-11-01,"E08000009","Trafford",243
563,2017-11-01,"E08000010","Wigan",296
564,2017-12-01,"E08000001","Bolton",296
564,2017-12-01,"E08000002","Bury",210
564,2017-12-01,"E08000003","Manchester",627
564,2017-12-01,"E08000004","Oldham",298
564,2017-12-01,"E08000005","Rochdale",241
564,2017-12-01,"E08000006","Salford",319
564,2017-12-01,"E08000007","Stockport",268
564,2017-12-01,"E08000008","Tameside",198
564,2017-12-01,"E08000009","Trafford",204
564,2017-12-01,"E08000010","Wigan",298
565,2018-01-01,"E08000001","Bolton",347
565,2018-01-01,"E08000002","Bury",175
565,2018-01-01,"E08000003","Manchester",637
565,2018-01-01,"E08000004","Oldham",272
565,2018-01-01,"E08000005","Rochdale",243
565,2018-01-01,"E08000006","Salford",304
565,2018-01-01,"E08000007","Stockport",268
565,2018-01-01,"E08000008","Tameside",231
565,2018-01-01,"E08000009","Trafford",247
565,2018-01-01,"E08000010","Wigan",307
566,2018-02-01,"E08000001","Bolton",245
566,2018-02-01,"E08000002","Bury",145
566,2018-02-01,"E08000003","Manchester",536
566,2018-02-01,"E08000004","Oldham",225
566,2018-02-01,"E08000005","Rochdale",218
566,2018-02-01,"E08000006","Salford",240
566,2018-02-01,"E08000007","Stockport",245
566,2018-02-01,"E08000008","Tameside",214
566,2018-02-01,"E08000009","Trafford",190
566,2018-02-01,"E08000010","Wigan",270
567,2018-03-01,"E08000001","Bolton",285
567,2018-03-01,"E08000002","Bury",186
567,2018-03-01,"E08000003","Manchester",551
567,2018-03-01,"E08000004","Oldham",259
567,2018-03-01,"E08000005","Rochdale",226
567,2018-03-01,"E08000006","Salford",295
567,2018-03-01,"E08000007","Stockport",271
567,2018-03-01,"E08000008","Tameside",211
567,2018-03-01,"E08000009","Trafford",214
567,2018-03-01,"E08000010","Wigan",281
568,2018-04-01,"E08000001","Bolton",280
568,2018-04-01,"E08000002","Bury",181
568,2018-04-01,"E08000003","Manchester",583
568,2018-04-01,"E08000004","Oldham",262
568,2018-04-01,"E08000005","Rochdale",241
568,2018-04-01,"E08000006","Salford",254
568,2018-04-01,"E08000007","Stockport",261
568,2018-04-01,"E08000008","Tameside",206
568,2018-04-01,"E08000009","Trafford",217
568,2018-04-01,"E08000010","Wigan",293
569,2018-05-01,"E08000001","Bolton",294
569,2018-05-01,"E08000002","Bury",195
569,2018-05-01,"E08000003","Manchester",652
569,2018-05-01,"E08000004","Oldham",276
569,2018-05-01,"E08000005","Rochdale",244
569,2018-05-01,"E08000006","Salford",285
569,2018-05-01,"E08000007","Stockport",294
569,2018-05-01,"E08000008","Tameside",262
569,2018-05-01,"E08000009","Trafford",216
569,2018-05-01,"E08000010","Wigan",244
570,2018-06-01,"E08000001","Bolton",330
570,2018-06-01,"E08000002","Bury",162
570,2018-06-01,"E08000003","Manchester",619
570,2018-06-01,"E08000004","Oldham",240
570,2018-06-01,"E08000005","Rochdale",201
570,2018-06-01,"E08000006","Salford",287
570,2018-06-01,"E08000007","Stockport",304
570,2018-06-01,"E08000008","Tameside",233
570,2018-06-01,"E08000009","Trafford",207
570,2018-06-01,"E08000010","Wigan",266
571,2018-07-01,"E08000001","Bolton",298
571,2018-07-01,"E08000002","Bury",204
571,2018-07-01,"E08000003","Manchester",588
571,2018-07-01,"E08000004","Oldham",258
571,2018-07-01,"E08000005","Rochdale",242
571,2018-07-01,"E08000006","Salford",325
571,2018-07-01,"E08000007","Stockport",259
571,2018-07-01,"E08000008","Tameside",244
571,2018-07-01,"E08000009","Trafford",225
571,2018-07-01,"E08000010","Wigan",319
572,2018-08-01,"E08000001","Bolton",308
572,2018-08-01,"E08000002","Bury",205
572,2018-08-01,"E08000003","Manchester",634
572,2018-08-01,"E08000004","Oldham",299
572,2018-08-01,"E08000005","Rochdale",246
572,2018-08-01,"E08000006","Salford",328
572,2018-08-01,"E08000007","Stockport",287
572,2018-08-01,"E08000008","Tameside",219
572,2018-08-01,"E08000009","Trafford",223
572,2018-08-01,"E08000010","Wigan",273
573,2018-09-01,"E08000001","Bolton",304
573,2018-09-01,"E08000002","Bury",198
573,2018-09-01,"E08000003","Manchester",576
573,2018-09-01,"E08000004","Oldham",261
573,2018-09-01,"E08000005","Rochdale",267
573,2018-09-01,"E08000006","Salford",337
573,2018-09-01,"E08000007","Stockport",299
573,2018-09-01,"E08000008","Tameside",273
573,2018-09-01,"E08000009","Trafford",214
573,2018-09-01,"E08000010","Wigan",296
574,2018-10-01,"E08000001","Bolton",290
574,2018-10-01,"E08000002","Bury",208
574,2018-10-01,"E08000003","Manchester",625
574,2018-10-01,"E08000004","Oldham",282
574,2018-10-01,"E08000005","Rochdale",222
574,2018-10-01,"E08000006","Salford",306
574,2018-10-01,"E08000007","Stockport",284
