"TimeID","Reg date","Provider URN","Provider type","Provider name","Authority code","Authority name","Registered places"
561,2017-09-29,"EY550118","Childcare - Non-Domestic","Out Of Hours Club","E08000010","Wigan",25
561,2017-09-29,"EY552164","Childminder","REDACTED","E08000003","Manchester",6
561,2017-09-28,"EY551653","Childcare - Non-Domestic","The Little People","E08000009","Trafford",30
561,2017-09-26,"EY544890","Childminder","REDACTED","E08000003","Manchester",6
561,2017-09-25,"EY550938","Childminder","REDACTED","E08000005","Rochdale",6
561,2017-09-25,"EY551238","Childminder","REDACTED","E08000003","Manchester",6
561,2017-09-22,"EY551789","Childminder","REDACTED","E08000001","Bolton",6
561,2017-09-20,"EY550975","Childminder","REDACTED","E08000007","Stockport",5
561,2017-09-20,"EY550843","Childminder","REDACTED","E08000010","Wigan",6
561,2017-09-20,"EY550847","Childcare - Non-Domestic","Tiddlywinks Nursery School (Chad)","E08000004","Oldham",15
561,2017-09-19,"EY551976","Childcare - Non-Domestic","Kids Fun Club","E08000003","Manchester",40
561,2017-09-19,"EY550159","Childminder","REDACTED","E08000009","Trafford",6
561,2017-09-18,"EY549386","Childminder","REDACTED","E08000005","Rochdale",3
561,2017-09-18,"EY552506","Home Childcarer","REDACTED","E08000009","Trafford",0
561,2017-09-18,"EY547245","Childminder","REDACTED","E08000010","Wigan",6
561,2017-09-15,"EY549832","Childcare - Non-Domestic","Excel Education Centre","E08000002","Bury",0
561,2017-09-14,"EY549504","Childminder","REDACTED","E08000009","Trafford",6
561,2017-09-14,"EY551059","Childcare - Non-Domestic","Bpcs Creche","E08000006","Salford",13
561,2017-09-14,"EY551347","Childminder","REDACTED","E08000006","Salford",12
561,2017-09-14,"EY544897","Childcare - Non-Domestic","Little Footprints","E08000006","Salford",20
561,2017-09-13,"EY549441","Childcare - Non-Domestic","The Olive Tree Nursery","E08000004","Oldham",30
561,2017-09-12,"EY548428","Childcare - Non-Domestic","Horwich Day Nursery","E08000001","Bolton",65
561,2017-09-06,"EY550880","Childminder","REDACTED","E08000009","Trafford",6
561,2017-09-06,"EY549283","Childminder","REDACTED","E08000003","Manchester",6
561,2017-09-05,"EY552075","Childcare - Non-Domestic","Oldham Tuition Centre","E08000004","Oldham",0
561,2017-09-01,"EY550168","Childcare - Non-Domestic","Stagecoach Didsbury","E08000003","Manchester",0
561,2017-09-01,"EY550108","Childcare - Non-Domestic","Katherine Price At Kip Mcgrath Leigh","E08000010","Wigan",0
561,2017-09-01,"EY550518","Childcare - Non-Domestic","Ladybridge Kids Club Ltd","E08000001","Bolton",20
560,2017-08-31,"EY550662","Childcare - Non-Domestic","Good Success","E08000003","Manchester",0
560,2017-08-30,"EY551157","Home Childcarer","REDACTED","E08000002","Bury",0
